Координаты: (1874.5, 329.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (1848.0, 328.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (527.0, 329.0); Яркость: 8766; Размер: 36; Тип: звезда
Координаты: (1860.0, 326.0); Яркость: 949; Размер: 4; Тип: планета
Координаты: (1327.0, 324.0); Яркость: 3938; Размер: 16; Тип: планета
Координаты: (477.5, 321.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2182.0, 315.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1952.5, 301.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (955.0, 300.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1843.0, 290.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (736.5, 282.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2183.5, 279.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1845.0, 272.0); Яркость: 3915; Размер: 16; Тип: планета
Координаты: (1620.0, 271.5); Яркость: 1519; Размер: 6; Тип: планета
Координаты: (1190.5, 264.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (513.0, 264.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1248.0, 263.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (2007.0, 262.0); Яркость: 989; Размер: 4; Тип: планета
Координаты: (413.5, 260.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1638.5, 260.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (2106.5, 241.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1957.5, 239.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2027.5, 233.0); Яркость: 499; Размер: 2; Тип: планета
Координаты: (123.5, 231.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (197.5, 229.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1686.0, 229.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1667.5, 226.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (716.5, 220.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1345.0, 219.5); Яркость: 498; Размер: 2; Тип: планета
Координаты: (902.5, 218.0); Яркость: 2855; Размер: 12; Тип: планета
Координаты: (1474.5, 213.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (1782.5, 210.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1340.5, 200.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1465.0, 198.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (998.5, 197.5); Яркость: 2237; Размер: 9; Тип: планета
Координаты: (1271.5, 195.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2120.5, 191.5); Яркость: 2283; Размер: 9; Тип: планета
Координаты: (945.5, 190.0); Яркость: 3023; Размер: 12; Тип: планета
Координаты: (499.5, 181.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (113.5, 180.5); Яркость: 11072; Размер: 49; Тип: звезда
Координаты: (2049.5, 173.5); Яркость: 6048; Размер: 25; Тип: звезда
Координаты: (439.5, 171.0); Яркость: 1529; Размер: 6; Тип: планета
Координаты: (1509.5, 167.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1574.5, 157.0); Яркость: 447; Размер: 2; Тип: планета
Координаты: (1542.5, 156.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1608.5, 153.5); Яркость: 248; Размер: 1; Тип: планета
Координаты: (1730.0, 153.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1645.5, 153.0); Яркость: 494; Размер: 2; Тип: планета
Координаты: (1877.5, 151.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (481.5, 154.0); Яркость: 12973; Размер: 56; Тип: звезда
Координаты: (1512.0, 150.5); Яркость: 1497; Размер: 6; Тип: планета
Координаты: (63.5, 131.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (255.5, 123.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1874.0, 123.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (480.5, 122.0); Яркость: 1522; Размер: 6; Тип: планета
Координаты: (2175.5, 121.5); Яркость: 2206; Размер: 9; Тип: планета
Координаты: (1745.0, 120.0); Яркость: 1012; Размер: 4; Тип: планета
Координаты: (1536.0, 120.0); Яркость: 3935; Размер: 16; Тип: планета
Координаты: (1437.5, 115.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1525.0, 113.0); Яркость: 1007; Размер: 4; Тип: планета
Координаты: (435.5, 112.5); Яркость: 3775; Размер: 15; Тип: планета
Координаты: (1925.5, 110.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1368.5, 111.5); Яркость: 2255; Размер: 9; Тип: планета
Координаты: (1905.5, 110.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (484.5, 112.0); Яркость: 12791; Размер: 56; Тип: звезда
Координаты: (990.0, 103.0); Яркость: 1010; Размер: 4; Тип: планета
Координаты: (2237.5, 102.5); Яркость: 8380; Размер: 35; Тип: звезда
Координаты: (1572.5, 98.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (67.5, 98.0); Яркость: 1491; Размер: 6; Тип: планета
Координаты: (1561.0, 95.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (1879.5, 91.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1802.5, 85.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (1924.0, 83.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (1061.5, 83.0); Яркость: 496; Размер: 2; Тип: планета
Координаты: (671.0, 86.0); Яркость: 31725; Размер: 144; Тип: звезда
Координаты: (1621.5, 78.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (934.5, 73.5); Яркость: 6173; Размер: 25; Тип: звезда
Координаты: (1603.0, 71.5); Яркость: 1436; Размер: 6; Тип: планета
Координаты: (618.5, 69.5); Яркость: 11606; Размер: 49; Тип: звезда
Координаты: (612.5, 64.5); Яркость: 2203; Размер: 9; Тип: планета
Координаты: (162.5, 62.0); Яркость: 3011; Размер: 12; Тип: планета
Координаты: (2170.5, 51.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (737.5, 47.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (382.5, 43.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2164.5, 41.5); Яркость: 2226; Размер: 9; Тип: планета
Координаты: (1359.0, 41.0); Яркость: 1007; Размер: 4; Тип: планета
Координаты: (746.5, 33.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (712.0, 36.5); Яркость: 15657; Размер: 72; Тип: звезда
Координаты: (1464.5, 32.5); Яркость: 2285; Размер: 9; Тип: планета
Координаты: (663.5, 32.0); Яркость: 1489; Размер: 6; Тип: планета
Координаты: (1570.5, 27.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2192.0, 27.0); Яркость: 3872; Размер: 16; Тип: планета
Координаты: (930.0, 22.0); Яркость: 945; Размер: 4; Тип: планета
Координаты: (1686.0, 23.0); Яркость: 5650; Размер: 24; Тип: звезда
Координаты: (936.0, 15.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (1243.5, 14.5); Яркость: 2241; Размер: 9; Тип: планета
Координаты: (866.5, 13.0); Яркость: 4719; Размер: 20; Тип: звезда
Координаты: (894.0, 15.0); Яркость: 26126; Размер: 120; Тип: звезда
Координаты: (879.5, 9.5); Яркость: 2217; Размер: 9; Тип: планета
Координаты: (1738.0, 8.0); Яркость: 1967; Размер: 8; Тип: планета
Координаты: (771.0, 4.0); Яркость: 995; Размер: 4; Тип: планета
Координаты: (1685.5, 2.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (979.0, 1.5); Яркость: 2974; Размер: 12; Тип: планета
